Island,Full Name,Local Name,Page Title,Hours of Operation,Service Times,Cost of Admission,Year Founded,Current Use,Denomination,Church Code,Longitude Coordinate,Latitude Coordinate,Intro sentence,History Blurb,Exterior blurb,Bell tower blurb,Floors blurb,Google Map Image,Floor Plan Image,Facade Image,Artifact Group
Cannaregio,Chiesa di S. Felice,San Felice,Church of San Felice,"T-F 9 AM - 12 PM, 4 PM - 7 PM",Unknown,Free,960,Active Church,Catholic,FELI,12.333379,45.441723,"The Chiesa di S. Felice, or San Felice as it is locally known, was founded in the year 960 and is a Catholic church.","Founded in the 10th century, San Felice is dedicated to Saint Felix of Nola. The church was rebuilt only twice and the building standing today dates back to the 16th century. The façade was built to model the [[Church of San Giovanni Grisostomo]], also located in [[Cannaregio]]. After being briefly closed by Napoleon in the early 1800s, the church was reopened in 1810, with its art work and relics intact. San Felice houses the bones of St. Felix as well as a clump of dirt said to be stained with Christ’s blood. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Felice]]. Please click the link to learn more!,"The image below depicts the floor plan of San Felice, including the location of the [[Church Floor Artifacts]].",FELI_GM.JPG,FELI_FP.JPG,FELI.JPG,FELI Artifacts
Cannaregio,Chiesa di S. Fosca,Santa Fosca in Cannaregio,Church of Santa Fosca in Cannaregio,Unknown,Sa 10:15 AM; Su 10:15 AM,Free,873,Active Church,Catholic,FOSC,12.33218,45.443051,"The Chiesa di S. Fosca, or Santa Fosca in Cannaregio as it is locally known, was founded in the year 873 and is a Catholic church.","The Church of Santa Fosca was built in the 10th century in honor of Saint Fosca whose body lies on the island of [[Torcello]]. The façade seen today was constructed during the rebuild in 1741 by Domenico Rossi. Despite these recent renovations, the ceiling collapsed in 1761, and luckily no one was injured. The church then underwent another round of renovations, the most recent of which was completed in 1847.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Santa Fosca in Cannaregio]]. Please click the link to learn more!,"The image below depicts the floor plan of Santa Fosca in Cannaregio, including the location of the [[Church Floor Artifacts]].",FOSC_GM.JPG,,FOSC.JPG,FOSC Artifacts
Cannaregio,Chiesa di S. Geremia e Lucia,San Geremia,Church of San Geremia,"M-Sa 9 AM - 12 PM, 4:30 PM - 6:30 PM; Su 9:30 AM - 12:15 PM, 5:30 PM - 6:30 PM",M-Sa 6 PM; Su 10 AM,Free,1000,Active Church,Catholic,GERE,12.325268,45.442725,"The Chiesa di S. Geremia e Lucia, or San Geremia as it is locally known, was founded in the year 1000 and is a Catholic church.","The Church of San Geremia was founded in the 11th century by a father and son who constructed it to house the arm of St. Bartholomew. The church was rebuilt in the 12th and 13th centuries before becoming the center of a scandal in 1562 when the priest was accused of hearsay and drowned. The present day church was rebuilt in 1753. The façade of the church was completed a century later, replacing one that was damaged by fire. San Geremia is unique in that it has two facades with similar designs. One was damaged again by arson in 1998 and is still being restored.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Geremia]]. Please click the link to learn more!,"The image below depicts the floor plan of San Geremia, including the location of the [[Church Floor Artifacts]].",GERE_GM.JPG,GERE_FP.JPG,GERE.JPG,GERE Artifacts
Cannaregio,Chiesa di S. Giobbe e Barnardino,San Giobbe,Church of San Giobbe,M-Sa 10 AM - 1:30 PM,Unknown,"Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",1378,Active Church,Catholic,GIOB,12.320104,45.4453,"The Chiesa di S. Giobbe e Barnardino, or San Giobbe as it is locally known, was founded in the year 1378 and is a Catholic church.","This Oratory was dedicated to Saint Job in the 14th century. The church was enlarged in the mid-15th century and redesigned in the gothic style.  A few features of this design remain intact, such as some windows and exterior plaster work. In 1470, a new architect was called in to finish the work, and his renaissance influence was merged with the existing Gothic design. Both the church and convent were suppressed by Napoleon in 1810 and Venice’s Botanical Gardens were built in the convent’s place. The church was later reopened.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Giobbe]]. Please click the link to learn more!,"The image below depicts the floor plan of San Giobbe, including the location of the [[Church Floor Artifacts]].",GIOB_GM.JPG,GIOB_FP.JPG,GIOB.JPG,GIOB Artifacts
Cannaregio,Chiesa di S. Girolomo,San Girolomo,Church of San Girolomo,Not Applicable,None,Not Applicable,1425,Closed to the Public,Catholic,GIRO,12.325023,45.446794,"The Chiesa di S. Girolomo, or San Girolomo as it is locally known, was founded in the year 1425 and is a Catholic church.","This church and convent were founded in the 14th century by Augustinian nuns from the convent of Santa Maria degli Angeli on [[Murano]]. Several rebuilds occurred due to damaging fires, the most recent of which was in 1751. Napoleon closed both the church and convent in 1807,and in the mid 1800’s the church was repurposed as a steam mill and sugar factory. In 1952, the church was restored and reopened for private uses and remains closed to the public. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Girolomo, including the location of the [[Church Floor Artifacts]].",GIRO_GM.JPG,GIRO_FP.JPG,GIRO.JPG,
Cannaregio,Chiesa di S. Giovanni Grisostomo,San Giovanni Grisostomo,Church of San Giovanni Grisostomo,"M-F 8:15 AM - 12:15 PM, 3 PM - 7 PM",M-F 10 AM; Sa 6:30 PM; Su 12 PM,Free,1050,Active Church,Catholic,GRIS,12.337227,45.439155,"The Chiesa di S. Giovanni Grisostomo, or San Giovanni Grisostomo as it is locally known, was founded in the year 1050 and is a Catholic church.","This Byzantine influenced church was constructed in the 11th century. The original church burned in the 15th century and was rebuilt by Mauro Codussi who also designed the [[Church of San Zaccaria]].  The church has a similar curvy design, but its façade is very similar to the [[Church of San Michele in Isola]]. The façade was damaged in air raids during the First World War.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Giovanni Grisostomo]]. Please click the link to learn more!,"The image below depicts the floor plan of San Giovanni Grisostomo, including the location of the [[Church Floor Artifacts]].",GRIS_GM.JPG,GRIS_FP.JPG,GRIS.JPG,GRIS Artifacts
Cannaregio,Chiesa di S. Leonardo,San Leonardo,Church of San Leonardo,Not Applicable,None,Not Applicable,1025,Event Hall,Catholic,LEON,12.32674,45.443994,"The Chiesa di S. Leonardo, or San Leonardo as it is locally known, was founded in the year 1025 and is a Catholic church.","Founded in the 11th century, San Leonardo was also the site the first Scuole Grandi. The present building was rebuilt in the late 18th century. A few years later, it was suppressed by Napoleon in 1807 and was then converted to a coal warehouse and is now a community center.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Leonardo, including the location of the [[Church Floor Artifacts]].",LEON_GM.JPG,LEON_FP.JPG,LEON.JPG,
Cannaregio,Chiesa di S. Maria Maddalena,La Maddalena,Church of La Maddalena,Not Applicable,None,Not Applicable,1222,Biennale Exhibit,Catholic,MADD,12.331122,45.443204,"The Chiesa di S. Maria Maddalena, or La Maddalena as it is locally known, was founded in the year 1222 and is a Catholic church.","The Baffo family first built Santa Maria Maddalena in the 13th century. It was rebuilt in the mid-18th century in the neoclassical design that remains today. The church was modeled after the Pantheon in Rome, with a circular outside and hexagonal interior. The church was closed by Napoleon in 1810, and later reopened as an oratory.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of La Maddalena, including the location of the [[Church Floor Artifacts]].",MADD_GM.JPG,MADD_FP.JPG,MADD.JPG,
Cannaregio,Chiesa di Santi Ermagora e Fortunato,San Marcuola,Church of San Marcuola,M-Sa 9:30 AM - 11:30 AM,"M-F 9 AM, 6:30 PM; Sa 6:30 PM; Su 10 AM, 12 PM, 7 PM",Free,1728,Active Church,Catholic,MARC,12.328588,45.443226,"The Chiesa di Santi Ermagora e Fortunato, or San Marcuola as it is locally known, was founded in the year 1728 and is a Catholic church.","San Marcuola was founded in the 10th century dedicated to St. Ermagora and St. Fortunato. The church was rebuilt twice, once in the 14th century and again in the 17th century. The most famous relic to be housed in this church is the right hand of John the Baptist. Several works of art hang on the walls of San Marcuola including a Tintoretto rendition of the Last Supper.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Marcuola]]. Please click the link to learn more!,"The image below depicts the floor plan of San Marcuola, including the location of the [[Church Floor Artifacts]].",MARC_GM.JPG,MARC_FP.JPG,MARC.JPG,MARC Artifacts
Cannaregio,Chiesa di S. Marcilliano,San Marziale,Church of San Marziale,M-Sa 4 PM - 6:30 PM; Su 8:30 AM - 10 AM,M-Sa 6:30 PM; Su 9:30 AM,Free,1133,Active Church,Catholic,MARZ,12.33288,45.44388,"The Chiesa di S. Marcilliano, or San Marziale as it is locally known, was founded in the year 1133 and is a Catholic church.","San Marziale was founded in the 9th century, and has undergone two rebuilds since this time. The 14th century reconstruction was inspired by a shepherd, Rustico in Rimini, who arrived on the island with the help of angels and not a boat. The present day church was completed in the early 18th century and has a very plain exterior. The interior of San Marziale is known for its many statues and intricate carvings. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Marziale]]. Please click the link to learn more!,"The image below depicts the floor plan of San Marziale, including the location of the [[Church Floor Artifacts]].",MARZ_GM.JPG,MARZ_FP.JPG,MARZ.JPG,MARZ Artifacts
Cannaregio,Chiesa di S. Maria dei Miracoli,I Miracoli,Church of I Miracoli,M-Sa 10 AM - 5 PM,Unknown,"Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",1487,Active Church,Catholic,MIRA,12.339194,45.439566,"The Chiesa di S. Maria dei Miracoli, or I Miracoli as it is locally known, was founded in the year 1487 and is a Catholic church.","This church was built in the 15th century to house an icon of the Virgin Mary, for whom the church is named.  The church was built in the Venetian Renaissance style with an intricate marble façade. This church is unique in that it is stand alone, you can walk around the entire church. The interior of the church is a single nave, with a barreled ceiling covered in paintings of saints.  ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Miracoli]]. Please click the link to learn more!,"The image below depicts the floor plan of I Miracoli, including the location of the [[Church Floor Artifacts]].",MIRA_GM.JPG,MIRA_FP.JPG,MIRA.JPG,MIRA Artifacts
Cannaregio,Chiesa di S. Cristoforo,La Madonna dell'Orto,Church of La Madonna dell'Orto,M-Sa 10 AM - 5 PM,M-F 9 AM; Su 11 AM,"Chorus Pass for year: 10€, 7€ students. 1 time, 3€, 1.50€ students.",1300,Active Church,Catholic,ORTO,12.332526,45.446591,"The Chiesa di S. Cristoforo, or La Madonna dell'Orto as it is locally known, was founded in the year 1300 and is a Catholic church.","Madonna dell’Orto was founded in the 14th century in honor of Saint Christopher, the patron saint of gondoliers. The church gets its name from the lavish garden next to the church that is home to an unfinished statue of the Madonna that is said to work miracles. The church fell to shambles and was even used as a stable in the mid 1800’s. The church has since been reopened and completely renovated by [[Venice in Peril]] in the 1980’s. The façade is a Gothic style and was constructed in the 15th century. The walls are filled with works of art, including many Tintorettos as this was his parish church.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - La Madonna dell'Orto]]. Please click the link to learn more!,"The image below depicts the floor plan of La Madonna dell'Orto, including the location of the [[Church Floor Artifacts]].",ORTO_GM.JPG,ORTO_FP,ORTO.JPG,ORTO Artifacts
Cannaregio,Chiesa di S. Maria delle Penitenti,Le Penitenti,Church of Le Penitenti,Not Applicable,None,Not Applicable,1763,Under Construction,Catholic,PENT,12.319101,45.447246,"The Chiesa di S. Maria delle Penitenti, or Le Penitenti as it is locally known, was founded in the year 1763 and is a Catholic church.",Santa Maria dei Penitenti was founded in the 18th century by Santa Maria as a hospice for fallen women. The church was designed to mimic Palladio’s [[Church of San Zitelle]]. The church’s façade remains unfinished since its design in 1845.,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Le Penitenti, including the location of the [[Church Floor Artifacts]].",PENT_GM.JPG,PENT_FP.JPG,PENT.JPG,
Cannaregio,Chiesa di S. Caterina,Santa Caterina,Church of Santa Caterina,Not Applicable,None,Not Applicable,1274,Closed to the Public,Catholic,RINA,12.336375,45.443408,"The Chiesa di S. Caterina, or Santa Caterina as it is locally known, was founded in the year 1274 and is a Catholic church.","Santa Caterina was founded in the 11th century, but was given to Augustinian nuns at the end of the 13th century. After being rebuilt in the 15th century, both the convent and church were suppressed by Napoleon in 1807 and reopened as a school. The church sustained damage during World War One and as a result of a later fire, causing the roof to be rebuilt in the popular ship’s keel style.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Santa Caterina, including the location of the [[Church Floor Artifacts]].",,RINA_FP.JPG,RINA.JPG,
Cannaregio,Chiesa di S. Maria di Nazareth,Gli Scalzi,Church of Gli Scalzi,"M-F 7 AM - 11:50 AM, 4 PM - 6:50 PM","M-F 7:30 AM, 8:30 AM, 6 PM; Su 8 AM, 9:30 AM, 11 AM, 6 PM",Free,1633,Active Church,Catholic,SCAL,12.322011,45.441437,"The Chiesa di S. Maria di Nazareth, or Gli Scalzi as it is locally known, was founded in the year 1633 and is a Catholic church.","The Scalzi was founded by the Carmelites in 1633 upon their arrival in Venice. They hired Baldassare Longhena to build them a church and monastery, the same architect who designed [[Santa Maria della Salute]]. They dedicated their Baroque church to St. Maria di Nazareth. Napoleon suppressed this church in 1810, but the nuns were able to return in 1840. Since then the monastery has been demolished and the rail station built. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Gli Scalzi]]. Please click the link to learn more!,"The image below depicts the floor plan of Gli Scalzi, including the location of the [[Church Floor Artifacts]].",SCAL_GM.JPG,SCAL_FP.JPG,SCAL.JPG,SCAL Artifacts
Cannaregio,Chiesa di S. Maria dei Servi,I Servi,Church of I Servi,Not Applicable,None,Not Applicable,1316,Closed to the Public,Catholic,SERV,12.330882,45.444103,"The Chiesa di S. Maria dei Servi, or I Servi as it is locally known, was founded in the year 1316 and is a Catholic church.","Construction of Santa Maria dei Servi took over 140 years and was finally completed in 1474. The size of the church is quiet large and was designed to compete with the [[Church of San Zanipolo]] and the [[Church of I Frari]]. In the late 18th century, a devastating fire nearly destroyed the church. Both the church and monastery were closed in 1812 by Napoleon. The buildings were then used as a charitable instate for women and later expanded to a school for young girls. The institute is now a student hostel.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of I Servi, including the location of the [[Church Floor Artifacts]].",SERV_GM.JPG,SERV_FP.JPG,SERV.JPG,
Cannaregio,Chiesa di S. Sofia,Santa Sofia,Church of Santa Sofia,"M-W, F-Su 9 AM - 12 PM",M-Sa 7:30 AM; Su 5:30 PM,Free,866,Active Church,Catholic,SOFI,12.335001,45.441087,"The Chiesa di S. Sofia, or Santa Sofia as it is locally known, was founded in the year 866 and is a Catholic church.","Santa Sofia was established in the 9th century and three rebuilds occurred over the next seven hundred years. The current church was renovated in the 17th century after a fire destroyed the existing building. In the early 1800’s, the church was sold to the Jewish community. The church façade is no longer visible from the street, as several store fronts are blocking the view.  ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Santa Sofia]]. Please click the link to learn more!,"The image below depicts the floor plan of Santa Sofia, including the location of the [[Church Floor Artifacts]].",SOFI_GM.JPG,SOFI_FP.JPG,SOFI.JPG,SOFI Artifacts
Cannaregio,Chiesa di S. Maria di Val Verde,La Misericordia,Church of La Misericordia,Not Applicable,None,Not Applicable,1308,Closed to the Public,Catholic,VALV,12.335173,45.443966,"The Chiesa di S. Maria di Val Verde, or La Misericordia as it is locally known, was founded in the year 1308 and is a Catholic church.","Santa Maria Valverde was first established as an abbey church in the 10th century. In the 14th century, all but one of the monks died of the plague, causing the church to fall into centuries of financial struggles and disrepair. The convent was demolished in the early 19th century; however, the church itself escaped the clutches of Napoleon. After a poorly done restoration attempt, the last mass was celebrated in 1967. In more recent years, the exterior has been resurfaced and painted, so hope remains that this church may once again reopen.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - La Misericordia]]. Please click the link to learn more!,"The image below depicts the floor plan of La Misericordia, including the location of the [[Church Floor Artifacts]].",VALV_GM.JPG,VALV_FP.JPG,VALV.JPG,
Castello,Chiesa di S. Anna,Sant'Anna,Church of Sant'Anna,Not Applicable,None,Not Applicable,1297,Closed to the Public,Catholic,ANNA,12.358138,45.432676,"The Chiesa di S. Anna, or Sant'Anna as it is locally known, was founded in the year 1297 and is a Catholic church.","The church was founded in the 13th century by Augustinians who dedicated the church to both St. Anne and St. Catherine. Over the next three hundred years, residency would we passed between Augustinian and Benedictine nuns. In the 17th century, the church and covenant were rebuilt. In 1807, both the church and covenant were suppressed by Napoleon and the nuns were moved to the [[Church of San Lorenzo]], also located in [[Castello]]. The church was never reopened, but used for various naval purposes and is currently serving as a lumber storage unit. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Sant'Anna, including the location of the [[Church Floor Artifacts]].",ANNA_GM.JPG,,ANNA.JPG,
Castello,Chiesa di S. Antonino,San Antonin,Church of San Antonin,"Tours by reservation only, Friday afternoons and Saturday mornings",Unknown,Free,1680,Active Church,Catholic,ANTN,12.346412,45.43569,"The Chiesa di S. Antonino, or San Antonin as it is locally known, was founded in the year 1680 and is a Catholic church.","Sant’Antonio was originally founded in the 7th century by a wealthy family and dedicated to Saint Anthony Abbot. The monastery used to keep pigs as the pig is the emblem of St. Anthony, and they caused quite a disturbance in the surrounding neighborhood, causing several laws to be passed in order to control the pigs’ activities. The church was rebuilt in the mid-17th century, however the façade was never completed. In 1982, the church was closed and deconsecrated.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Antonin]]. Please click the link to learn more!,"The image below depicts the floor plan of San Antonin, including the location of the [[Church Floor Artifacts]].",ANTN_GM.JPG,,ANTN.JPG,
Castello,Chiesa S. Biagio,San Biagio,Church of San Biagio,Not Applicable,None,Not Applicable,1052,Hotel,Catholic,BIAG,12.349989,45.432676,"The Chiesa S. Biagio, or San Biagio as it is locally known, was founded in the year 1052 and is a Catholic church.","San Biagio was first built in the 11th century with the intended use for new immigrants. In the late 15th century, Venice’s Greek Orthodox community inhabited the church before they moved to the [[Church of San Giorgio]]. The latest rebuild was in the late 18th century, designed by Francesco Bognolo, the architect who also designed the [[Arsenale]]. In 1810, the church was closed by Napoleon, but reopened later that decade as a naval chapel.  The church is now part of the naval museum, and services are rare.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Biagio, including the location of the [[Church Floor Artifacts]].",BIAG_GM.JPG,BIAG_FP.JPG,BIAG.JPG,
Castello,Chiesa di S. Giovanni Batista in Bragora,La Bragora,Church of La Bragora,"M-Sa 9 AM - 11 AM, 3:30 PM - 5 PM; Su 9:30 AM - 12 PM",M-F 6:30 PM; Su 10:30 AM,Free,750,Active Church,Catholic,BRAG,12.346797,45.434455,"The Chiesa di S. Giovanni Batista in Bragora, or La Bragora as it is locally known, was founded in the year 750 and is a Catholic church.","This church is thought to be one of the twelve churches founded in the 8th century by Saint Magnus.  Rebuilds occurred in the 12th and 15th centuries, and many of this designs features still remain intact today. The 15th century design was a Gothic style, but then in the 18th century the church was renovated to include some baroque embellishments.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of La Bragora, including the location of the [[Church Floor Artifacts]].",BRAG_GM.JPG,BRAG_FP.JPG,BRAG.JPG,BRAG Artifacts
